 ,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,link24,link25,link26,link27,link28,link29,link30,link31,link32,link33,link34,link35,link36,link37,link38,link39,link40,link41,link42,link43,link44,link45,link46,link47,link48,link49,link50,link51,link52,link53,link54,link55,link56,link57,link58,link59,link60,link61,link62,link63,link64,link65,link66,link67,link68,link69,link70,link71,link72,link73,link74,link75,link76
34,  0.004250,  0.006710,  0.004250,  0.007381,  0.006710,  0.012749,  0.008947,  0.012749,  0.017446,  0.008276,  0.017446,  0.013755,  0.010736,  0.007381,  0.013755,  0.018229,  0.009729,  0.014091,  0.018229,  0.009729,  0.001566,  0.014874,  0.010736,  0.001566,  0.018564,  0.018676,  0.020913,  0.012525,  0.027511,  0.000000,  0.008387,  0.020689,  0.009282,  0.018340,  0.008947,  0.009282,  0.014091,  0.014203,  0.014091,  0.018340,  0.008611,  0.011631,  0.012637,  0.008611,  0.021919,  0.024379,  0.014874,  0.027622,  0.030530,  0.014874,  0.000000,  0.030530,  0.025162,  0.014091,  0.014985,  0.013196,  0.021919,  0.025162,  0.005703,  0.013196,  0.005703,  0.005144,  0.006039,  0.005032,  0.016327,  0.016327,  0.024379,  0.006039,  0.016327,  0.009618,  0.011631,  0.009618,  0.006374,  0.014091,  0.016216,  0.006374
35,  0.004290,  0.006774,  0.004290,  0.007451,  0.006774,  0.012192,  0.009709,  0.012192,  0.017611,  0.007677,  0.017611,  0.013886,  0.010838,  0.007451,  0.013886,  0.018401,  0.009822,  0.014224,  0.018401,  0.009822,  0.001580,  0.015015,  0.010838,  0.001580,  0.018740,  0.018853,  0.018514,  0.017724,  0.025288,  0.000000,  0.007790,  0.018289,  0.009370,  0.015240,  0.009709,  0.009370,  0.014902,  0.015015,  0.014902,  0.015240,  0.008015,  0.009144,  0.017837,  0.008015,  0.024611,  0.027884,  0.015015,  0.018176,  0.028336,  0.015015,  0.007225,  0.021111,  0.022917,  0.014224,  0.015128,  0.013321,  0.024611,  0.022917,  0.005758,  0.013321,  0.005758,  0.005193,  0.006096,  0.005080,  0.017160,  0.017160,  0.027884,  0.006096,  0.017160,  0.012305,  0.009144,  0.012305,  0.006435,  0.014902,  0.017047,  0.006435
36,  0.004303,  0.006793,  0.004303,  0.007473,  0.006793,  0.011549,  0.007699,  0.011549,  0.016304,  0.008379,  0.016304,  0.013927,  0.009511,  0.007473,  0.013927,  0.018456,  0.009851,  0.014266,  0.018456,  0.009851,  0.001585,  0.015059,  0.009511,  0.001585,  0.020154,  0.020267,  0.022532,  0.012681,  0.018116,  0.009737,  0.008492,  0.022305,  0.010756,  0.018569,  0.007699,  0.010756,  0.014266,  0.014380,  0.014266,  0.018569,  0.008718,  0.011775,  0.012794,  0.008718,  0.022192,  0.024683,  0.015059,  0.027966,  0.021173,  0.015059,  0.000000,  0.030910,  0.025476,  0.014266,  0.015172,  0.013361,  0.022192,  0.025476,  0.005774,  0.013361,  0.005774,  0.005208,  0.006114,  0.005095,  0.016531,  0.016531,  0.024683,  0.006114,  0.016531,  0.009737,  0.011775,  0.009737,  0.006454,  0.014266,  0.016418,  0.006454
37,  0.004279,  0.006757,  0.004279,  0.007432,  0.006757,  0.012162,  0.009685,  0.012162,  0.017568,  0.007658,  0.017568,  0.013851,  0.010811,  0.007432,  0.013851,  0.018356,  0.009797,  0.014189,  0.018356,  0.009797,  0.001577,  0.014977,  0.010811,  0.001577,  0.018694,  0.018806,  0.018468,  0.015203,  0.027703,  0.000000,  0.007770,  0.018243,  0.009347,  0.015203,  0.009685,  0.009347,  0.014865,  0.014977,  0.014865,  0.015203,  0.007995,  0.009122,  0.015315,  0.007995,  0.022072,  0.027815,  0.014977,  0.018131,  0.030743,  0.014977,  0.009685,  0.021059,  0.025338,  0.014189,  0.015090,  0.013288,  0.022072,  0.025338,  0.005743,  0.013288,  0.005743,  0.005180,  0.006081,  0.005068,  0.017117,  0.017117,  0.027815,  0.006081,  0.017117,  0.012275,  0.009122,  0.012275,  0.006419,  0.014865,  0.017005,  0.006419
38,  0.004291,  0.006775,  0.004291,  0.007453,  0.006775,  0.012873,  0.009033,  0.012873,  0.017615,  0.008356,  0.017615,  0.013889,  0.010840,  0.007453,  0.013889,  0.018406,  0.009824,  0.014228,  0.018406,  0.009824,  0.001581,  0.015018,  0.010840,  0.001581,  0.018744,  0.018857,  0.018519,  0.015244,  0.018067,  0.009711,  0.008469,  0.018293,  0.009372,  0.015921,  0.009033,  0.009372,  0.014228,  0.014341,  0.014228,  0.015921,  0.008695,  0.009146,  0.015357,  0.008695,  0.022132,  0.027213,  0.015018,  0.027891,  0.021116,  0.015018,  0.000000,  0.030827,  0.025407,  0.014228,  0.015131,  0.013324,  0.022132,  0.025407,  0.005759,  0.013324,  0.005759,  0.005194,  0.006098,  0.005081,  0.016486,  0.016486,  0.027213,  0.006098,  0.016486,  0.012308,  0.009146,  0.012308,  0.006436,  0.014228,  0.016373,  0.006436
39,  0.004303,  0.006793,  0.004303,  0.007473,  0.006793,  0.011549,  0.007699,  0.011549,  0.016304,  0.008379,  0.016304,  0.013927,  0.009511,  0.007473,  0.013927,  0.018456,  0.009851,  0.014266,  0.018456,  0.009851,  0.001585,  0.015059,  0.009511,  0.001585,  0.020154,  0.020267,  0.022532,  0.012681,  0.027853,  0.000000,  0.008492,  0.022305,  0.010756,  0.018569,  0.007699,  0.010756,  0.014266,  0.014380,  0.014266,  0.018569,  0.008718,  0.011775,  0.012794,  0.008718,  0.022192,  0.024683,  0.015059,  0.018229,  0.030910,  0.015059,  0.009737,  0.021173,  0.025476,  0.014266,  0.015172,  0.013361,  0.022192,  0.025476,  0.005774,  0.013361,  0.005774,  0.005208,  0.006114,  0.005095,  0.016531,  0.016531,  0.024683,  0.006114,  0.016531,  0.009737,  0.011775,  0.009737,  0.006454,  0.014266,  0.016418,  0.006454
40,  0.004279,  0.006757,  0.004279,  0.007432,  0.006757,  0.012162,  0.009685,  0.012162,  0.017568,  0.007658,  0.017568,  0.013851,  0.010811,  0.007432,  0.013851,  0.018356,  0.009797,  0.014189,  0.018356,  0.009797,  0.001577,  0.014977,  0.010811,  0.001577,  0.018694,  0.018806,  0.018468,  0.017680,  0.018018,  0.007207,  0.007770,  0.018243,  0.009347,  0.015203,  0.009685,  0.009347,  0.014865,  0.014977,  0.014865,  0.015203,  0.007995,  0.009122,  0.015315,  0.007995,  0.024550,  0.027815,  0.014977,  0.027815,  0.021059,  0.014977,  0.000000,  0.030743,  0.022860,  0.014189,  0.015090,  0.013288,  0.022072,  0.025338,  0.005743,  0.013288,  0.005743,  0.005180,  0.006081,  0.005068,  0.017117,  0.017117,  0.027815,  0.006081,  0.017117,  0.012275,  0.009122,  0.012275,  0.006419,  0.014865,  0.017005,  0.006419
41,  0.004266,  0.006736,  0.004266,  0.007409,  0.006736,  0.012797,  0.007634,  0.011450,  0.017512,  0.008307,  0.016165,  0.013808,  0.010777,  0.007409,  0.013808,  0.018298,  0.009767,  0.014145,  0.018298,  0.009767,  0.001572,  0.014930,  0.009430,  0.001572,  0.019982,  0.018747,  0.022339,  0.012573,  0.027616,  0.000000,  0.008419,  0.020768,  0.010665,  0.018410,  0.008981,  0.009317,  0.014145,  0.014257,  0.014145,  0.018410,  0.008644,  0.011675,  0.015155,  0.008644,  0.022003,  0.024472,  0.014930,  0.025258,  0.030647,  0.014930,  0.000000,  0.028177,  0.025258,  0.014145,  0.015043,  0.013247,  0.024472,  0.022789,  0.005725,  0.013247,  0.005725,  0.005164,  0.006062,  0.005052,  0.016390,  0.016390,  0.024472,  0.006062,  0.016390,  0.009654,  0.011675,  0.009654,  0.006399,  0.014145,  0.016278,  0.006399
42,  0.004327,  0.006832,  0.004327,  0.007515,  0.006832,  0.010931,  0.009793,  0.012298,  0.016397,  0.007743,  0.017764,  0.014006,  0.009565,  0.007515,  0.014006,  0.018561,  0.009907,  0.014348,  0.018561,  0.009907,  0.001594,  0.015145,  0.010931,  0.001594,  0.018902,  0.020383,  0.018675,  0.015372,  0.018219,  0.009793,  0.007857,  0.019813,  0.009451,  0.015372,  0.008426,  0.010818,  0.015031,  0.015145,  0.015031,  0.015372,  0.008085,  0.009223,  0.015486,  0.008085,  0.022318,  0.028126,  0.015145,  0.018333,  0.021294,  0.015145,  0.009793,  0.021294,  0.025621,  0.014348,  0.015258,  0.013437,  0.022318,  0.025621,  0.005807,  0.013437,  0.005807,  0.005238,  0.006149,  0.005124,  0.017308,  0.017308,  0.028126,  0.006149,  0.017308,  0.012412,  0.009223,  0.012412,  0.006491,  0.015031,  0.017194,  0.006491
43,  0.004250,  0.006710,  0.004250,  0.007381,  0.006710,  0.012749,  0.008947,  0.012749,  0.017446,  0.008276,  0.017446,  0.013755,  0.010736,  0.007381,  0.013755,  0.018229,  0.009729,  0.014091,  0.018229,  0.009729,  0.001566,  0.014874,  0.010736,  0.001566,  0.018564,  0.018676,  0.020913,  0.012525,  0.027511,  0.000000,  0.008387,  0.020689,  0.009282,  0.018340,  0.008947,  0.009282,  0.014091,  0.014203,  0.014091,  0.018340,  0.008611,  0.011631,  0.012637,  0.008611,  0.021919,  0.024379,  0.014874,  0.027622,  0.030530,  0.014874,  0.000000,  0.030530,  0.025162,  0.014091,  0.014985,  0.013196,  0.021919,  0.025162,  0.005703,  0.013196,  0.005703,  0.005144,  0.006039,  0.005032,  0.016327,  0.016327,  0.024379,  0.006039,  0.016327,  0.009618,  0.011631,  0.009618,  0.006374,  0.014091,  0.016216,  0.006374
44,  0.004290,  0.006774,  0.004290,  0.007451,  0.006774,  0.012192,  0.009709,  0.012192,  0.017611,  0.007677,  0.017611,  0.013886,  0.010838,  0.007451,  0.013886,  0.018401,  0.009822,  0.014224,  0.018401,  0.009822,  0.001580,  0.015015,  0.010838,  0.001580,  0.018740,  0.018853,  0.018514,  0.017724,  0.025288,  0.000000,  0.007790,  0.018289,  0.009370,  0.015240,  0.009709,  0.009370,  0.014902,  0.015015,  0.014902,  0.015240,  0.008015,  0.009144,  0.017837,  0.008015,  0.024611,  0.027884,  0.015015,  0.018176,  0.028336,  0.015015,  0.007225,  0.021111,  0.022917,  0.014224,  0.015128,  0.013321,  0.024611,  0.022917,  0.005758,  0.013321,  0.005758,  0.005193,  0.006096,  0.005080,  0.017160,  0.017160,  0.027884,  0.006096,  0.017160,  0.012305,  0.009144,  0.012305,  0.006435,  0.014902,  0.017047,  0.006435
45,  0.004303,  0.006793,  0.004303,  0.007473,  0.006793,  0.011549,  0.007699,  0.011549,  0.016304,  0.008379,  0.016304,  0.013927,  0.009511,  0.007473,  0.013927,  0.018456,  0.009851,  0.014266,  0.018456,  0.009851,  0.001585,  0.015059,  0.009511,  0.001585,  0.020154,  0.020267,  0.022532,  0.012681,  0.018116,  0.009737,  0.008492,  0.022305,  0.010756,  0.018569,  0.007699,  0.010756,  0.014266,  0.014380,  0.014266,  0.018569,  0.008718,  0.011775,  0.012794,  0.008718,  0.022192,  0.024683,  0.015059,  0.027966,  0.021173,  0.015059,  0.000000,  0.030910,  0.025476,  0.014266,  0.015172,  0.013361,  0.022192,  0.025476,  0.005774,  0.013361,  0.005774,  0.005208,  0.006114,  0.005095,  0.016531,  0.016531,  0.024683,  0.006114,  0.016531,  0.009737,  0.011775,  0.009737,  0.006454,  0.014266,  0.016418,  0.006454
46,  0.004285,  0.006766,  0.004285,  0.007442,  0.006766,  0.012855,  0.009021,  0.012179,  0.017591,  0.008345,  0.017591,  0.013870,  0.010825,  0.007442,  0.013870,  0.018381,  0.009811,  0.014208,  0.018381,  0.009811,  0.001579,  0.014998,  0.010825,  0.001579,  0.018719,  0.018832,  0.018493,  0.015223,  0.027740,  0.000000,  0.007781,  0.018268,  0.009359,  0.015900,  0.009698,  0.009359,  0.014208,  0.014998,  0.014208,  0.015223,  0.008683,  0.009134,  0.015336,  0.008006,  0.022102,  0.027853,  0.014998,  0.018155,  0.030785,  0.014998,  0.009698,  0.021087,  0.025372,  0.014208,  0.015111,  0.013306,  0.022102,  0.025372,  0.005751,  0.013306,  0.005751,  0.005187,  0.006089,  0.005074,  0.016464,  0.017140,  0.027176,  0.006089,  0.017140,  0.012291,  0.009134,  0.012291,  0.006428,  0.014885,  0.016351,  0.006428
47,  0.004285,  0.006766,  0.004285,  0.007442,  0.006766,  0.012179,  0.009698,  0.012855,  0.017591,  0.007668,  0.017591,  0.013870,  0.010825,  0.007442,  0.013870,  0.018381,  0.009811,  0.014208,  0.018381,  0.009811,  0.001579,  0.014998,  0.010825,  0.001579,  0.018719,  0.018832,  0.018493,  0.015223,  0.018042,  0.009698,  0.008457,  0.020862,  0.009359,  0.015223,  0.009021,  0.009359,  0.014885,  0.014321,  0.014885,  0.018493,  0.008006,  0.009134,  0.012742,  0.008683,  0.022102,  0.027176,  0.014998,  0.027853,  0.021087,  0.014998,  0.000000,  0.030785,  0.025372,  0.014208,  0.015111,  0.013306,  0.022102,  0.025372,  0.005751,  0.013306,  0.005751,  0.005187,  0.006089,  0.005074,  0.017140,  0.016464,  0.025259,  0.006089,  0.016464,  0.012291,  0.011728,  0.009698,  0.006428,  0.014208,  0.017028,  0.006428
